,Tipo,Dormitórios,Banheiros,Garagens,Bairro,Valor,Suítes,Mobiliado
0,Apartamento Padrão,2,1,1, Recreio São Judas Tadeu,1042.5,0,Sim
1,Apartamento Padrão,2,1,1, Vila Izabel,1625.0,0,Sim
2,Apartamento Padrão,2,2,0, Vila Jacobucci,556.25,0,Sim
3,Apartamento Padrão,2,1,2, Jardim Alvorada,1625.0,2,Sim
4,Casa Padrão,3,1,2, Jardim Nova Santa Paula,2375.0,1,Sim
5,Apartamento Padrão,2,1,1, Vila Rancho Velho,1012.5,0,Sim
6,Apartamento Padrão,3,1,1, Centro,1437.5,0,Sim
7,Apartamento Padrão,3,1,2, Parque Santa Felícia Jardim,2083.75,1,Sim
8,Apartamento Padrão,2,1,1, Parque Primavera,1248.75,0,Sim
9,Apartamento Cobertura,4,1,5, Centro,6250.0,2,Sim
10,Casa Sobrado,3,1,10, Lagoa Serena,6875.0,1,Sim
11,Casa Padrão,5,1,3, Centro,7640.0,1,Sim
12,Casa Sobrado,4,2,2, Cidade Aracy,1667.5,0,Sim
13,Casa Padrão,3,1,2, Vila Monteiro Gleba I,4175.0,1,Sim
14,Casa Padrão,3,3,0, Centro,3472.5,3,Sim
15,Apartamento Padrão,2,1,1, Residencial Parati,1153.75,0,Não
16,Apartamento Padrão,2,1,1, Parque Santa Felícia Jardim,931.25,0,Sim
17,Apartamento Padrão,2,1,1, Cidade Jardim,2222.5,1,Sim
18,Casa Sobrado,3,1,2, Loteamento Municipal São Carlos,2500.0,1,Sim
19,Apartamento Padrão,1,1,1, Parque Santa Felícia Jardim,833.75,0,Sim
20,Apartamento Padrão,2,1,2, Parque Faber Castell I,3472.5,1,Sim
21,Casa Sobrado,5,3,5, Cidade Jardim,4125.0,0,Sim
22,Apartamento Padrão,2,2,1, Jardim Ipanema,875.0,1,Sim
23,Casa Padrão,3,2,1, Vila Prado,2778.75,0,Sim
24,Apartamento Padrão,3,1,1, Parque Faber Castell I,1875.0,1,Sim
25,Apartamento Kitnet,1,1,0, Jardim Paraíso,695.0,0,Não
26,Casa Padrão,3,2,1, Centro,4750.0,0,Sim
27,Apartamento Padrão,2,1,1, Recreio São Judas Tadeu,1111.25,0,Sim
28,Apartamento Padrão,2,1,1, Jardim Ipanema,1250.0,0,Não
