,Tipo,Dormitórios,Banheiros,Garagens,Bairro,Valor,Suítes,Mobiliado
354,Apartamento Padrão,2,1,1, Jardim Santa Paula,1350.0,1,Não
355,Casa Sobrado,4,2,4, Vila Prado,5000.0,2,Não
356,Apartamento Kitnet,1,1,0, Vila Marcelino,833.75,0,Não
357,Apartamento Padrão,2,1,1, Parque Santa Felícia Jardim,1111.25,0,Não
358,Apartamento Padrão,2,1,1, Jardim Bethânia,1875.0,1,Não
359,Casa Padrão,3,1,1, Parque Industrial,1875.0,1,Não
360,Apartamento Padrão,2,1,1, Romeu Santini,875.0,0,Não
361,Apartamento Padrão,2,1,1, Jardim Jockei Club A,1111.25,0,Sim
362,Casa Padrão,3,2,1, Centro,5250.0,0,Sim
363,Apartamento Padrão,2,1,1, Parque Fehr,1111.25,0,Sim
364,Apartamento Padrão,2,1,1, Jardim Jockei Club A,972.5,0,Não
365,Apartamento Padrão,2,1,1, Parque Santa Felícia Jardim,1437.5,0,Não
366,Apartamento Padrão,2,1,1, Centro,1500.0,0,Não
367,Casa Padrão,6,2,3, Vila Costa do Sol,1390.0,0,Não
368,Apartamento Padrão,1,1,1, Jardim Santa Paula,695.0,0,Não
369,Apartamento Padrão,2,1,1, Recreio São Judas Tadeu,1181.25,0,Não
370,Casa Padrão,3,1,3, Jardim Cruzeiro do Sul,2778.75,1,Sim
371,Casa Padrão,3,3,4, Vila Faria,6250.0,3,Sim
372,Casa Padrão,3,1,2, Jardim Ipanema,2000.0,1,Não
373,Casa Padrão,2,1,2, Vila Nossa Senhora de Fátima,1625.0,0,Não
374,Casa Padrão,3,1,1, Cidade Jardim,4167.5,0,Sim
375,Apartamento Padrão,1,1,0, Jardim Paulistano,1390.0,0,Não
376,Apartamento Flat sem ...,1,1,1, Jardim Santa Paula,695.0,0,Não
377,Apartamento Padrão,2,1,1, Residencial Monsenhor Romeu Tortorelli,833.75,0,Não
378,Casa Padrão,1,6,20, Vila Costa do Sol,6250.0,5,Não
379,Apartamento Padrão,2,1,1, Parque Fehr,1250.0,0,Não
380,Casa Padrão,2,1,1, Jardim São João Batista,1500.0,0,Não
381,Casa Padrão,2,1,3, Vila Boa Vista 1,2875.0,1,Não
382,Casa Padrão,2,1,2, Loteamento Habitacional São Car,2125.0,1,Sim
383,Apartamento Padrão,2,1,1, Jardim Ricetti,1625.0,0,Sim
384,Casa Padrão,3,2,2, Jardim Brasil,3472.5,0,Não
385,Apartamento Padrão,2,1,2, Parque Faber Castell I,3125.0,1,Sim
386,Apartamento Padrão,2,1,1, Jardim Ipanema,1111.25,0,Sim
387,Apartamento Padrão,2,1,1, Jardim Santa Paula,1528.75,0,Não
388,Casa Padrão,3,2,3, Vila Alpes,2125.0,0,Não
389,Apartamento Padrão,1,1,1, Cidade Jardim,1112.5,0,Sim
390,Apartamento Padrão,1,1,1, Cidade Jardim,1112.5,0,Sim
391,Apartamento Padrão,1,1,1, Cidade Jardim,1112.5,0,Sim
